City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
251,Sept-Iles,CA,75.2,50.2,-66.38,Comfort Inn
252,Mabaruma,GY,80.53,8.2,-59.78,
256,Bengkulu,ID,76.41,-3.8,102.27,Grage Hotel Bengkulu
258,Chaiya,TH,82.0,9.39,99.2,JP Place
260,That Phanom,TH,77.11,16.94,104.71,ณ ธาตุพนมเพลส Na That Panom Place Hotel
261,Saint George,US,80.01,37.1,-113.58,Best Western Plus Abbey Inn
262,Mandera,KE,85.87,3.94,41.87,Kornesh Hotel and Lodging
263,Kochubey,RU,76.03,44.39,46.58,Gostinitsa Karavan
272,Kloulklubed,PW,77.0,7.04,134.26,Storyboard Beach Resort
275,Duki,PK,88.97,30.15,68.57,Bhari Dada Kaka Hotel
282,Abu Kamal,SY,88.38,34.45,40.92,
283,Bata,GQ,77.67,1.86,9.77,Hotel Carmen
285,Gat,IL,77.0,31.61,34.76,רגע בנחת
286,Axim,GH,78.1,4.87,-2.24,AXIM BEACH RESORT AND SPA
289,Fougamou,GA,76.3,-1.22,10.58,Résidence d'Hôtes Bapedy
292,Dzaoudzi,YT,77.0,-12.79,45.27,Le Rocher
297,Harper,LR,79.16,4.38,-7.72,Cape View Guest House
298,Escuintla,GT,89.6,14.3,-90.78,HOTEL SARITA
299,Sao Joao Da Barra,BR,78.8,-21.64,-41.05,Pousada Porto De Canoas
301,Havelock,US,81.0,34.88,-76.9,Sherwood Motel
302,Kavaratti,IN,84.76,10.57,72.64,Bismillah Hotel And Lodging
303,Thinadhoo,MV,84.49,0.53,72.93,
304,Westport,US,79.0,41.14,-73.36,The Westport Inn
308,Santa Maria,BR,80.6,-29.68,-53.81,Hotel Morotin
309,Nueva Loja,EC,84.2,0.08,-76.88,Limoncocha Great Hotel
311,Talavera De La Reina,ES,86.0,39.96,-4.83,Be Live City Center Talavera
312,Bathsheba,BB,87.8,13.22,-59.52,Atlantis Hotel
313,Bonthe,SL,80.35,7.53,-12.51,Bonthe Holiday Village
314,Phan Thiet,VN,79.32,10.93,108.1,Hotel Saigon-PT
